nbrExecutor,timeDebut,timeEnd,duration
1,1484577712,1484577717,5
1,1484577717,1484577725,8
1,1484577725,1484577731,6
1,1484577731,1484577736,5
1,1484577736,1484577742,6
1,1484577742,1484577748,6
1,1484577748,1484577753,5
1,1484577753,1484577759,6
1,1484577759,1484577765,6
1,1484577765,1484577771,6
2,1484577771,1484577777,6
2,1484577777,1484577783,6
2,1484577783,1484577789,6
2,1484577789,1484577795,6
2,1484577795,1484577801,6
2,1484577801,1484577807,6
2,1484577807,1484577813,6
2,1484577813,1484577819,6
2,1484577819,1484577825,6
2,1484577825,1484577831,6
3,1484577831,1484577836,5
3,1484577836,1484577841,5
3,1484577841,1484577847,6
3,1484577847,1484577852,5
3,1484577852,1484577858,6
3,1484577858,1484577863,5
3,1484577863,1484577869,6
3,1484577869,1484577874,5
3,1484577874,1484577880,6
3,1484577880,1484577885,5
4,1484577885,1484577891,6
4,1484577891,1484577896,5
4,1484577896,1484577901,5
4,1484577901,1484577907,6
4,1484577907,1484577912,5
4,1484577912,1484577917,5
4,1484577917,1484577923,6
4,1484577923,1484577928,5
4,1484577928,1484577937,9
4,1484577937,1484577945,8
5,1484577945,1484577954,9
5,1484577954,1484577963,9
5,1484577963,1484577968,5
5,1484577968,1484577973,5
5,1484577973,1484577982,9
5,1484577982,1484577991,9
5,1484577991,1484577999,8
5,1484577999,1484578008,9
5,1484578008,1484578015,7
5,1484578015,1484578023,8
