application_1484773545759_0034,1,1,30sec
application_1484773545759_0035,2,1,30sec
application_1484773545759_0036,3,1,48sec
application_1484773545759_0037,1,1,22sec
application_1484773545759_0038,2,1,28sec
application_1484773545759_0039,3,1,46sec
application_1484773545759_0040,1,1,26sec
application_1484773545759_0041,2,1,29sec
application_1484773545759_0042,3,1,48sec
application_1484773545759_0043,1,1,40sec
application_1484773545759_0044,2,1,31sec
application_1484773545759_0045,3,1,49sec
application_1484773545759_0046,1,1,36sec
application_1484773545759_0047,2,1,37sec
application_1484773545759_0048,3,1,47sec
application_1484773545759_0049,1,2,28sec
application_1484773545759_0050,2,2,32sec
application_1484773545759_0051,3,2,46sec
application_1484773545759_0052,1,2,23sec
application_1484773545759_0053,2,2,49sec
application_1484773545759_0054,3,2,1mins, 1sec
application_1484773545759_0055,1,2,21sec
application_1484773545759_0056,2,2,23sec
application_1484773545759_0057,3,2,47sec
application_1484773545759_0058,1,2,21sec
application_1484773545759_0059,2,2,23sec
application_1484773545759_0060,3,2,45sec
application_1484773545759_0061,1,2,22sec
application_1484773545759_0062,2,2,33sec
application_1484773545759_0063,3,2,45sec
