id,nb_executer,nb_thread,time
application_1484773545759_0097,1,1,81
application_1484773545759_0098,2,1,41
application_1484773545759_0099,3,1,46
application_1484773545759_0100,4,1,39
application_1484773545759_0101,5,1,37
application_1484773545759_0102,6,1,44
application_1484773545759_0103,1,1,38
application_1484773545759_0104,2,1,33
application_1484773545759_0105,3,1,44
application_1484773545759_0106,4,1,41
application_1484773545759_0107,5,1,39
application_1484773545759_0108,6,1,45
application_1484773545759_0109,1,1,27
application_1484773545759_0110,2,1,34
application_1484773545759_0111,3,1,27
application_1484773545759_0112,4,1,42
application_1484773545759_0113,5,1,68
application_1484773545759_0114,6,1,53
application_1484773545759_0115,1,1,28
application_1484773545759_0116,2,1,30
application_1484773545759_0117,3,1,35
application_1484773545759_0118,4,1,39
application_1484773545759_0119,5,1,70
application_1484773545759_0120,6,1,57
application_1484773545759_0121,1,1,29
application_1484773545759_0122,2,1,37
application_1484773545759_0123,3,1,49
application_1484773545759_0124,4,1,48
application_1484773545759_0125,5,1,50
application_1484773545759_0126,6,1,71
application_1484773545759_0127,1,2,38
application_1484773545759_0128,2,2,38
application_1484773545759_0129,3,2,41
application_1484773545759_0130,4,2,42
application_1484773545759_0131,5,2,68
application_1484773545759_0132,6,2,53
application_1484773545759_0133,1,2,42
application_1484773545759_0134,2,2,35
application_1484773545759_0135,3,2,37
application_1484773545759_0136,4,2,48
application_1484773545759_0137,5,2,57
application_1484773545759_0138,6,2,53
application_1484773545759_0139,1,2,30
application_1484773545759_0140,2,2,33
application_1484773545759_0141,3,2,37
application_1484773545759_0142,4,2,54
application_1484773545759_0143,5,2,60
application_1484773545759_0144,6,2,65
application_1484773545759_0145,1,2,36
application_1484773545759_0146,2,2,38
application_1484773545759_0147,3,2,32
application_1484773545759_0148,4,2,45
application_1484773545759_0149,5,2,55
application_1484773545759_0150,6,2,58
application_1484773545759_0151,1,2,34
application_1484773545759_0152,2,2,26
application_1484773545759_0153,3,2,33
application_1484773545759_0154,4,2,61
application_1484773545759_0155,5,2,50
application_1484773545759_0156,6,2,54
