n,executor,core,timeDebut,timeEnd,duration
128,1,1,1485023763,1485023766,3
128,1,2,1485023766,1485023769,3
128,1,4,1485023769,1485023773,4
128,1,8,1485023773,1485023776,3
128,1,16,1485023776,1485023779,3
128,1,32,1485023779,1485023783,4
128,2,1,1485023783,1485023786,3
128,2,2,1485023786,1485023789,3
128,2,4,1485023789,1485023793,4
128,2,8,1485023793,1485023796,3
128,2,16,1485023796,1485023799,3
128,2,32,1485023799,1485023802,3
128,4,1,1485023802,1485023806,4
128,4,2,1485023806,1485023809,3
128,4,4,1485023809,1485023812,3
128,4,8,1485023812,1485023816,4
128,4,16,1485023816,1485023819,3
128,4,32,1485023819,1485023822,3
128,8,1,1485023822,1485023826,4
128,8,2,1485023826,1485023829,3
128,8,4,1485023829,1485023831,2
